# RSS / Atom / JSON feeds (BLOG, RSS, FORUM)
# Fetch limit: 25 items per poll
# Format: [tier] type | db_name | poll_min | url

[B] BLOG | blog:aws_training_and_certification_blog | 60 min | https://aws.amazon.com/blogs/training-and-certification/feed/
[B] BLOG | blog:aws_training_announcements | 60 min | https://aws.amazon.com/blogs/training-and-certification/category/post-types/announcements/feed/
[B] RSS | rss:aws_builder | 60 min | https://builder.aws.com/rss.xml
[B] BLOG | blog:microsoft_learn_blog | 60 min | https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/Community?interaction.style=blog&labels=Microsoft+Learn+Blog
[B] BLOG | blog:google_cloud_blog | 60 min | https://cloudblog.withgoogle.com/rss/
[B] BLOG | blog:cisco_newsroom | 60 min | https://newsroom.cisco.com/c/services/i/servlets/newsroom/rssfeed.json
[B] BLOG | blog:red_hat_blog | 60 min | https://www.redhat.com/en/rss/blog
[B] BLOG | blog:linux_foundation_blog | 60 min | https://www.linuxfoundation.org/blog/rss.xml
[B] RSS | rss:linux.com | 60 min | https://www.linux.com/feed/
[C] FORUM | forum:microsoft_learn_qanda_voucher_search | 240 min | https://learn.microsoft.com/api/search/rss?search=voucher+certification+exam&locale=en-us
[C] FORUM | forum:google_cloud_training_group | 240 min | https://discuss.google.dev/c/google-cloud/cloud-announcements/172.rss
[B] BLOG | blog:microsoft_events | 60 min | https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=azure-events
[B] BLOG | blog:microsoft_azure_blog | 60 min | https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Azure
[B] BLOG | blog:microsoft_security_blog | 60 min | https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=microsoft-security-blog
[B] BLOG | blog:microsoft_ai_platform_blog | 60 min | https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/Community?interaction.style=blog
[C] RSS | rss:tutorials_dojo | 240 min | https://tutorialsdojo.com/feed/
[C] RSS | rss:packet_pilot | 240 min | https://packetpilot.com/feed/
[B] RSS | rss:microsoft_blog | 60 min | https://blogs.microsoft.com/feed
[B] RSS | rss:cisco_newsroom | 60 min | https://newsroom.cisco.com/c/services/i/servlets/newsroom/rssfeed.json
[B] RSS | rss:cisco_newsroom_security | 60 min | https://newsroom.cisco.com/c/services/i/servlets/newsroom/rssfeed.json?feed=security
[B] RSS | rss:cisco_newsroom_press | 60 min | https://newsroom.cisco.com/c/services/i/servlets/newsroom/rssfeed.json?feed=press-releases
[D] BLOG | blog:oracle_university_blog | 720 min | https://feeds.libsyn.com/459162/rss
[C] RSS | rss:petri_it | 240 min | https://petri.com/feed/
[C] RSS | rss:infoq | 240 min | https://feed.infoq.com
[C] RSS | rss:the_register | 240 min | https://www.theregister.com/headlines.rss
[C] RSS | rss:techtarget_aws | 240 min | https://www.techtarget.com/searchaws/rss/News-on-amazon-web-services-trends-and-technology.xml
[C] RSS | rss:techtarget_cloud | 240 min | https://www.techtarget.com/searchcloudcomputing/rss/Cloud-computing-news-and-technical-advice.xml
[B] RSS | rss:certiport_exam_updates | 60 min | https://certiport.pearsonvue.com/Support/Exam-content-updates.aspx?rss=exam-content-updates
[C] RSS | rss:databricks_learning_events | 240 min | https://community.databricks.com/rss/board?board.id=databricks-community-events
[C] BLOG | blog:hashicorp_blog | 240 min | https://www.hashicorp.com/blog/feed.xml
[B] BLOG | blog:linux_foundation_training_blog | 60 min | https://training.linuxfoundation.org/feed/
[B] BLOG | blog:cncf_blog | 60 min | https://www.cncf.io/blog/feed/
[B] RSS | rss:lf_events | 60 min | https://events.linuxfoundation.org/feed/
[B] BLOG | blog:vmware_vmtn_blog | 60 min | https://blogs.vmware.com/vmtn/feed/
[B] BLOG | blog:elastic_blog | 60 min | https://www.elastic.co/blog/feed
[B] BLOG | blog:suse_c_blog | 60 min | https://www.suse.com/c/feed/
[B] BLOG | blog:canonical_blog | 60 min | https://canonical.com/blog/feed
[B] BLOG | blog:ubuntu_blog | 60 min | https://ubuntu.com/blog/feed
[B] BLOG | blog:sas_training_blog | 60 min | https://blogs.sas.com/content/sastraining/feed/
[C] BLOG | blog:docker_blog | 240 min | https://www.docker.com/blog/feed/
[C] BLOG | blog:neo4j_blog | 240 min | https://neo4j.com/blog/feed/
[C] RSS | rss:confluent_blog | 240 min | https://www.confluent.io/feed/
